initial_rank	priority_band	legacy_id	identity_branch	key	title	family	target_relevance	impact	screen_effort	qualification_burden	local_screen_state	definition_status	primary_metric	default_next_action	minimum_probe	negative_control	reopen_condition
222	2	R223	report-continuity	R223.flac-frame-range-microstream.report-continuity	FLAC frame-range microstream	audio	conditional	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
223	2	R239	report-A	R239.extract-an-av1-operating-point-before-decoding.report-a	Extract an AV1 operating point before decoding	route	conditional	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
224	2	R245	report-A	R245.factor-a-multichannel-filter-bank-into-fewer-actual-filters.report-a	Factor a multichannel filter bank into fewer actual filters	audio	conditional	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
225	2	R245	report-C	R245.standalone-flac-from-original-frames.report-c	standalone FLAC from original frames	audio	conditional	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
226	2	R268	report-defined	R268.aac-selective-channel-element-reconstruction	AAC selective channel-element reconstruction	route	conditional	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
227	2	R241	report-C	R241.jpeg-90-dct-domain-rotation.report-c	JPEG 90° DCT-domain rotation	gpu	conditional	4	E2	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
228	2	R241	report-A	R241.reconstruct-gain-map-hdr-using-browser-decoded-component-images.report-a	Reconstruct gain-map HDR using browser-decoded component images	route	conditional	4	E2	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
229	2	R10	proposal	R010.screen-float-preserving-destinations-before-writing-adapters	Screen float-preserving destinations before writing adapters	route	conditional	3	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
230	2	R12	proposal	R012.use-a-browser-audio-encoder-for-the-permitted-lossy-branch	Use a browser audio encoder for the permitted lossy branch	route	conditional	3	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
231	2	R25	proposal	R025.try-a-generated-video-track-as-an-alternative-presenter	Try a generated video track as an alternative presenter	route	conditional	3	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
232	2	R30	proposal	R030.investigate-containerless-encoded-chunk-mse	Investigate containerless encoded-chunk MSE	route	conditional	3	E0	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
233	2	R22	proposal	R022.use-document-pip-to-keep-native-subtitles-and-controls	Use Document PiP to keep Native subtitles and controls	route	conditional	3	E0	Q4	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Prerequisite-only first: Exact destination/configuration and existing source/worker assets; feature availability is not a pass for the complete route. If absent, record HOLD_ENV; if present, decide whether the small probe is warranted. Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
234	2	R08	proposal	R008.keep-display-only-transformations-out-of-cpu-video-filters	Keep display-only transformations out of CPU video filters	gpu	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
235	2	R50	proposal	R050.evict-on-actual-gop-boundaries-to-preserve-useful-rewind-media	Evict on actual GOP boundaries to preserve useful rewind media	tooling	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Decision power, reproducibility or diagnostic cost without changing the measured player outcome.	Specify one concrete wrong-output or provenance failure the proposed tool must detect beyond the existing harness.	Inject that failure in a tiny known-good fixture, demonstrate detection and run an unchanged control; do not build a general research platform.	A different failure, stale source/hash or malformed record must not count as the intended finding.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
236	2	R53	proposal	R053.coalesce-gain-gestures-into-audio-clock-automation	Coalesce gain gestures into audio-clock automation	lifecycle	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
237	2	R56	proposal	R056.map-repeated-clip-boundaries-in-integer-media-ticks	Map repeated clip boundaries in integer media ticks	mux	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
238	2	R70	report-defined	R070.remove-the-intermediate-host-remux	Remove the intermediate host remux	mux	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
239	2	R71	report-defined	R071.tune-flac-effort-without-changing-frame-duration	Tune FLAC effort without changing frame duration	audio	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
240	2	R75	report-defined	R075.compact-large-seek-maps-with-checkpoints	Compact large seek maps with checkpoints	source	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
241	2	R95	proposal	R095.fixed-opus-gain-through-codec-container-headers	Fixed Opus gain through codec/container headers	mux	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete preparation/startup/refill work, bytes and ownership; output parser acceptance alone is not the metric.	Find where bytes/timestamps actually change, are copied, or are withheld. Compare against current persistent mux/parser behavior.	Construct one bounded positive output and one invalid-edge control using the same coded samples. Keep unrelated fragment/default policies fixed.	Wrong size/offset/configuration or a non-random-access cut must fail specifically; cancellation cannot publish another generation.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
242	2	R107	proposal	R107.separate-av1-base-decoding-from-film-grain-reconstruction	Separate AV1 base decoding from film-grain reconstruction	gpu	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
243	2	R158	report-defined	R158.structure-aware-failure-preserving-reduction	Structure-aware failure-preserving reduction	tooling	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Decision power, reproducibility or diagnostic cost without changing the measured player outcome.	Specify one concrete wrong-output or provenance failure the proposed tool must detect beyond the existing harness.	Inject that failure in a tiny known-good fixture, demonstrate detection and run an unchanged control; do not build a general research platform.	A different failure, stale source/hash or malformed record must not count as the intended finding.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
244	2	R171	proposal	R171.derive-a-small-set-of-tests-that-distinguish-route-behaviors	Derive a small set of tests that distinguish route behaviors	audio	conditional	3	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
245	2	R179	report-defined	R179.exact-subtitle-font-subsetting	exact subtitle font subsetting	subtitles	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Required caption capability or total render/extraction cost and retained cue/atlas memory.	Identify the exact subtitle representation, maintained renderer and existing cache behavior. Distinguish an oracle discrepancy from a player defect.	One authored cue/scene plus an overlapping or stateful boundary, using identical fonts, sizes and output semantics; reuse a maintained test.	Seek into an active cue, change fonts/layout/source, or omit a required style/control. No silent simplification or stale overlay.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
246	2	R185	report-defined	R185.progressively-refine-one-preview	progressively refine one preview	preview	conditional	3	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Time to the requested exact or explicitly approximate preview, total prerequisite work and retained state.	Identify the preview operation and current service. Separate sparse previews, exact scrubbing and ordinary playback; inspect prior frame/history reuse.	One short owned source and a few target requests under equal memory budgets, with an independent full-decode/reference result.	Move backward, request a non-RAP dependency, change source or cancel a pending request; stale previews must never become current.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
247	2	R28	proposal	R028.make-streaming-representation-choices-aware-of-complete-plan-feasibility	Make streaming representation choices aware of complete-plan feasibility	route	conditional	3	E1	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
248	2	R304	proposal	R304.factor-a-multichannel-effect-into-fewer-independent-filters	Factor a multichannel effect into fewer independent filters	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
249	2	R309	proposal	R309.recalculate-mix-loudness-from-cached-cross-products	Recalculate mix loudness from cached cross-products	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
250	2	R312	proposal	R312.find-oversampled-peaks-by-ruling-out-regions-before-reconstructing-them	Find oversampled peaks by ruling out regions before reconstructing them	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
251	2	R316	proposal	R316.cache-the-peak-envelope-of-every-fixed-gain-mix	Cache the peak envelope of every fixed-gain mix	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
252	2	R324	proposal	R324.reuse-av1-show-existing-frame-for-repeated-ui-states	Reuse AV1 show_existing_frame for repeated UI states	lifecycle	specialty-or-prepared	4	E1	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
253	2	R341	proposal	R341.derive-audio-effect-preroll-from-a-guaranteed-error-budget	Derive audio-effect preroll from a guaranteed error budget	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
254	2	R347	proposal	R347.morph-convolution-effects-using-reusable-basis-outputs	Morph convolution effects using reusable basis outputs	audio	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete specified audio operation, output sample count/phase and practical CPU/memory or repeated-query cost.	Write the exact requested signal operation, codec tool constraints, state and rounding contract. Check whether an optimized existing library already performs it.	A tiny independent numerical/bitstream oracle plus one boundary or adversarial case. Only use a matching Wasm slice when available and inexpensive.	Extrema, invalid precision, changed predictor/phase/history or a nonlinear stage must invalidate assumptions. No covert resampling/downmix/quality change.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
255	2	R359	proposal	R359.start-with-a-bounded-software-prefix-while-browser-decoding-warms-up	Start with a bounded software prefix while browser decoding warms up	lifecycle	specialty-or-prepared	4	E1	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	User-visible operation latency, duplicated work or peak/steady live resource ownership; not object counts alone.	Trace the precise owner, generation, reset/flush/commit or allocation being changed. Reproduce the present behavior before removing any guard.	One short action trace through existing code with the candidate disabled/enabled; include the specific seek, cancellation or replacement transition it can affect.	Cancel or replace a source at the changed boundary and delay a stale callback/consumer; reject late publication and premature reuse.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
256	2	R230	proposal	R230.mux-media-to-reduce-the-extra-bytes-required-for-integrity-verification	Mux media to reduce the extra bytes required for integrity verification	source	specialty-or-prepared	4	E2	Q2	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Total bytes and time to correct startup/target, including cold index/identity acquisition; bounded retained bytes.	Locate one real repeated read/index/validation boundary and its trusted source identity. Separate logical requests from transferred or physical-disk bytes.	Replay a short owned range/seek trace on a tiny indexed fixture, including its first cold operation, with the same source and authorization. Reuse the existing reader.	Change the source/version or corrupt an offset/proof and cancel one consumer. No stale or unverified bytes may be published.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
257	2	R352	proposal	R352.integrate-video-exposure-over-real-frame-durations-instead-of-frame-counts	Integrate video exposure over real frame durations instead of frame counts	gpu	specialty-or-prepared	4	E2	Q2	UNSCREENED	SOURCE_BODY_AVAILABLE	Complete decode/process/present cost, transfers, command work or peak live storage for identical requested output.	Identify the CPU/GPU representation boundary and actual useful work removed. Check existing renderer fusions, caches, kernel fast paths and hardware gates.	Small deterministic planes/blocks or an existing real frame with one adversarial edge. Use a bounded component test if GPU integration is not already available, labeling it as such.	Change stride, crop, phase, alpha, edge neighborhood or resource generation; exercise a case where the proposed shortcut is ineligible.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
258	2	R214	report-defined	R214.packed-v210-without-cpu-planarization	packed v210 without CPU planarization	route	specialty-or-prepared	4	E2	Q3	UNSCREENED	SOURCE_BODY_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
259	2	R228	proposal	R228.decode-interlaced-mjpeg-as-native-field-images	Decode interlaced MJPEG as native field images	route	specialty-or-prepared	4	E2	Q3	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
260	2	R229	proposal	R229.compile-matroska-ordered-editions-into-a-minimal-transformation-playback-timeline	Compile Matroska ordered editions into a minimal-transformation playback timeline	route	specialty-or-prepared	4	E2	Q3	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
261	2	R325	proposal	R325.decode-only-the-alpha-plane-of-a-transparent-image-when-color-is-already-cached	Decode only the alpha plane of a transparent image when color is already cached	route	specialty-or-prepared	4	E2	Q3	UNSCREENED	CONVERSATION_SCOPE_AVAILABLE	Correct additional admitted source/destination capability; otherwise full startup and CPU/resource cost.	Trace actual input representation, requested tracks/features, current accepted plan and the decoder boundary. Check whether this adapter or destination is already used.	Use one tiny admitted source plus one unsupported/near-boundary control through the existing destination or adapter; compare required output identity with the cheapest correct route. No broad codec port.	Alter one admission-critical configuration, remove a required dependency, or preserve video while making selected audio unsupported. Candidate must reject or use a declared fallback.	A new applicable workload, resolved prerequisite, better independent oracle, or materially different bounded implementation changes the recorded decision.
